url;perfume;brand;country;gender;rating value;rating count;year;top;middle;base;perfumer1;perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5;image_url
https://www.fragrantica.com/perfume/shay-blue-london/watermelons-29961.html;watermelons;shay-blue-london;UK;unisex;3.44;214;2015.0;watermelon, green mandarin;green leaves, green tea, honeysuckle;vetiver;julie massé;;green;ozonic;aquatic;fruity;white floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.29961.jpg
https://www.fragrantica.com/perfume/pokrovka-trading-house/forest-lily-of-the-valley-33817.html;forest-lily-of-the-valley;pokrovka-trading-house;Russia;women;3.44;41;;green notes, bergamot;lily-of-the-valley, rose, geranium;musk, sandalwood, cedar;marina nikitina;;white floral;green;fresh;soapy;;https://fimgs.net/mdimg/perfume-thumbs/375x500.33817.jpg
https://www.fragrantica.com/perfume/perry-ellis/perry-woman-1912.html;perry-woman;perry-ellis;USA;women;3.44;61;2002.0;orchid, bergamot, water lily;jasmine, rose, tuberose, pink lotus, lotus;orris root, vetiver, patchouli, sandalwood, musk;unknown;;floral;woody;powdery;white floral;earthy;https://fimgs.net/mdimg/perfume-thumbs/375x500.1912.jpg
https://www.fragrantica.com/perfume/parfums-berdoues/somei-yoshino-31435.html;somei-yoshino;parfums-berdoues;France;women;3.44;241;2015.0;shiso;jasmine sambac;patchouli;angeline poubeau leporini;;white floral;aromatic;green;fresh spicy;patchouli;https://fimgs.net/mdimg/perfume-thumbs/375x500.31435.jpg
https://www.fragrantica.com/perfume/navitus-parfums/primas-60638.html;primas;navitus-parfums;UAE;unisex;3.44;100;2019.0;green mango, grapefruit, bergamot, palisander rosewood;patchouli, cedar, jasmine;oakmoss, musk, amberwood, labdanum;jorge lee;;woody;tropical;fruity;earthy;mossy;https://fimgs.net/mdimg/perfume-thumbs/375x500.60638.jpg
https://www.fragrantica.com/perfume/michael-michalsky/michalsky-berlin-iii-for-women-46833.html;michalsky-berlin-iii-for-women;michael-michalsky;USA;women;3.44;32;2017.0;pear, citron;jasmine, iris, tuberose;vanilla, tonka bean, sandalwood, amber;unknown;;vanilla;sweet;fruity;powdery;white floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.46833.jpg
https://www.fragrantica.com/perfume/michael-malul-london/140-blue-64953.html;140-blue;michael-malul-london;USA;men;3.44;36;2020.0;blood orange, melon, apple, pomelo, plum;neroli, lavender, geranium, black pepper;cedar, patchouli, musk, sandalwood, amber;frank voelkl;roger howell;citrus;woody;fruity;fresh;fresh spicy;https://fimgs.net/mdimg/perfume-thumbs/375x500.64953.jpg
https://www.fragrantica.com/perfume/mauboussin/emotion-divine-2455.html;emotion-divine;mauboussin;France;women;3.44;246;2007.0;caramel, green leaves, white pepper, bitter orange;mango, passion flower, white peach;vanilla, musk;unknown;;sweet;fruity;tropical;caramel;green;https://fimgs.net/mdimg/perfume-thumbs/375x500.2455.jpg
https://www.fragrantica.com/perfume/herve-gambs-paris/ice-land-51889.html;ice-land;herve-gambs-paris;France;unisex;3.44;32;2019.0;lavender, black pepper, bergamot, mandarin orange;cassis, geranium;thyme, moss, vetiver, patchouli;herve gambs;;aromatic;fresh spicy;lavender;citrus;herbal;https://fimgs.net/mdimg/perfume-thumbs/375x500.51889.jpg
https://www.fragrantica.com/perfume/halloween/halloween-i-m-unique-59311.html;halloween-i-m-unique;halloween;Spain;women;3.44;85;2020.0;tangerine, bergamot, almond, sichuan pepper;coconut milk, buchu or agathosma, rose;heliotrope, musk;dorothée piot;;citrus;sweet;almond;coconut;powdery;https://fimgs.net/mdimg/perfume-thumbs/375x500.59311.jpg
https://www.fragrantica.com/perfume/floral-street/iris-goddess-47209.html;iris-goddess;floral-street;UK;unisex;3.44;239;2017.0;violet, red chilli pepper, lemon zest, lemon;iris, powdery notes, suede, red fruits;carrot seeds, musk, black vanilla husk, patchouli;jérôme epinette;;powdery;violet;musky;iris;;https://fimgs.net/mdimg/perfume-thumbs/375x500.47209.jpg
https://www.fragrantica.com/perfume/esse-strikes-the-notes/vittoria-57300.html;vittoria;esse-strikes-the-notes;Italy;women;3.44;50;2019.0;rose, lemon, grapefruit, cherry blossom, sweet orange;gorse, jasmine, gardenia, saffron, peony;white musk, ambrette (musk mallow), oakmoss, ambergris;unknown;;musky;floral;citrus;rose;white floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.57300.jpg
https://www.fragrantica.com/perfume/ella-k-parfums/orchid-k-90734.html;orchid-k;ella-k-parfums;France;unisex;3.44;81;2024.0;marshmallow, petitgrain, pink nerium oleander;black orchid, magnolia, wild rose;ambrofix, sequoia, vanilla;sonia constant;;woody;floral;sweet;vanilla;powdery;https://fimgs.net/mdimg/perfume-thumbs/375x500.90734.jpg
https://www.fragrantica.com/perfume/elie-saab/le-parfum-bridal-84412.html;le-parfum-bridal;elie-saab;France;women;3.44;98;2023.0;orange blossom, mandarin orange, neroli;gardenia, ylang-ylang, vanilla;amber, musk, benzoin;unknown;;amber;white floral;musky;citrus;powdery;https://fimgs.net/mdimg/perfume-thumbs/375x500.84412.jpg
https://www.fragrantica.com/perfume/attar-collection/azalea-64735.html;azalea;attar-collection;UAE;unisex;3.44;448;2020.0;ylang-ylang, orchid, lemon zest;marzipan, heliotrope, vanilla, rose;myrhh, white musk, sandalwood;luz vaquero;;sweet;powdery;vanilla;floral;yellow floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.64735.jpg
https://www.fragrantica.com/perfume/avon/ice-sheers-luscious-12171.html;ice-sheers-luscious;avon;USA;women;3.45;172;2010.0;lemonade, sugar, lemon, citruses;lily, orange blossom;sweet notes, lemon, vanilla, musk, amber;unknown;;citrus;sweet;vanilla;fresh;;https://fimgs.net/mdimg/perfume-thumbs/375x500.12171.jpg
https://www.fragrantica.com/perfume/avon/encanto-charming-59922.html;encanto-charming;avon;USA;women;3.45;44;2019.0;pineapple;blackberry;sandalwood;unknown;;fruity;sweet;woody;tropical;;https://fimgs.net/mdimg/perfume-thumbs/375x500.59922.jpg
https://www.fragrantica.com/perfume/avon/latin-sensation-17197.html;latin-sensation;avon;USA;women;3.45;143;2012.0;cardamom, red apple, blood orange;carnation, jasmine, osmanthus;sandalwood, vanila, tonka bean;unknown;;warm spicy;floral;fruity;aromatic;vanilla;https://fimgs.net/mdimg/perfume-thumbs/375x500.17197.jpg
https://www.fragrantica.com/perfume/azzaro/decibel-12434.html;decibel;azzaro;France;men;3.45;916;2011.0;licorice, aldehydes, amalfi lemon;incense, violet;tonka bean, vanille, vetiver;christophe raynaud;;amber;vanilla;balsamic;soft spicy;smoky;https://fimgs.net/mdimg/perfume-thumbs/375x500.12434.jpg
https://www.fragrantica.com/perfume/azzaro/orange-tonic-1.html;orange-tonic;azzaro;France;women;3.45;88;;orange, bergamot, grapefruit, basil, green notes, lemon, mint;honeysuckle, blueberry, lily-of-the-valley, jasmine, flowers;honey, amber, cedar, musk;nathalie feisthauer;;citrus;fresh spicy;green;sweet;aromatic;https://fimgs.net/mdimg/perfume-thumbs/375x500.1.jpg
https://www.fragrantica.com/perfume/calvin-klein/ck-everyone-eau-de-parfum-71607.html;ck-everyone-eau-de-parfum;calvin-klein;USA;unisex;3.45;406;2022.0;orange;black tea;haitian vetiver;gabriela chelariu;;citrus;green;aromatic;woody;earthy;https://fimgs.net/mdimg/perfume-thumbs/375x500.71607.jpg
